DistrictId,WardId,StreetId,Size,Rooms,Toilets,Type,FurnishingSell,Urgent,Price
12,153,1349,59.0,2,1,Chung cư,Hoàn thiện cơ bản,0,2069999999.9999998
4,44,379,81.0,2,2,Chung cư,Hoàn thiện cơ bản,0,3700000000.0
24,312,2756,33.0,1,0,Officetel,,1,1670000000.0
24,312,2756,70.0,10,0,Chung cư,,0,3700000000.0
20,260,2539,65.0,2,2,Chung cư,Hoàn thiện cơ bản,0,2570000000.0
20,260,2539,65.0,2,2,Chung cư,Nội thất đầy đủ,0,2570000000.0
15,190,1839,118.0,3,2,Chung cư,Nội thất cao cấp,0,7600000000.0
9,102,902,60.0,2,2,Chung cư,Hoàn thiện cơ bản,0,1800000000.0
4,44,379,81.0,2,2,Chung cư,Nội thất đầy đủ,0,4250000000.0
7,78,666,36.9,1,1,Chung cư,Hoàn thiện cơ bản,0,1690000000.0
4,44,380,68.0,1,1,Chung cư,Nội thất đầy đủ,0,6300000000.0
24,312,2756,62.0,2,1,Chung cư,Nội thất đầy đủ,0,1950000000.0
9,102,902,85.0,2,2,Chung cư,Nội thất cao cấp,0,6800000000.0
20,260,2536,50.0,2,2,,,0,1450000000.0
20,260,2536,50.0,2,2,Chung cư,Hoàn thiện cơ bản,0,1450000000.0
14,166,1546,62.0,2,1,Chung cư,Hoàn thiện cơ bản,0,3250000000.0
9,102,902,69.0,3,2,Chung cư,,0,3300000000.0
8,89,832,62.0,2,2,Chung cư,Hoàn thiện cơ bản,1,1940000000.0
9,102,902,48.0,1,1,,,0,1900000000.0
8,96,862,32.0,2,2,Chung cư,Hoàn thiện cơ bản,0,1900000000.0
9,102,902,40.0,1,1,Chung cư,Hoàn thiện cơ bản,0,1450000000.0
13,157,1425,57.0,2,2,Chung cư,,0,1840000000.0
13,160,1458,89.0,2,2,Chung cư,Nội thất đầy đủ,0,2750000000.0
19,245,2373,68.0,2,2,Chung cư,,1,3000000000.0
20,254,2511,50.0,1,1,Chung cư,Hoàn thiện cơ bản,0,1780000000.0
9,103,911,60.0,1,1,Chung cư,,0,2075000000.0000002
18,235,2219,56.0,2,2,Chung cư,,1,1850000000.0
17,215,2046,57.0,2,1,Chung cư,Nội thất đầy đủ,0,2780000000.0
8,88,816,68.0,2,2,Chung cư,Nội thất đầy đủ,0,2890000000.0
8,89,832,62.0,2,2,Chung cư,Nội thất đầy đủ,1,1830000000.0
24,312,2756,52.0,2,1,Chung cư,,0,2500000000.0
9,102,902,59.0,1,1,Chung cư,Nội thất cao cấp,0,2250000000.0
17,219,2077,74.0,2,2,Chung cư,Nội thất đầy đủ,0,5250000000.0
8,98,880,74.0,2,2,Chung cư,,0,2200000000.0
9,100,893,35.0,1,1,Chung cư,Nội thất cao cấp,0,2400000000.0
16,205,1965,55.0,2,1,Chung cư,Nội thất đầy đủ,0,1360000000.0
19,245,2373,53.2,1,1,Chung cư,Nội thất đầy đủ,0,3000000000.0
24,312,2756,87.0,2,2,Chung cư,Nội thất cao cấp,0,3000000000.0
20,254,2511,71.0,2,2,Chung cư,Nội thất cao cấp,0,3650000000.0
19,245,2373,67.0,2,2,Chung cư,Nội thất đầy đủ,0,3110000000.0
19,241,2310,55.0,2,2,Chung cư,Nội thất đầy đủ,0,1800000000.0
8,86,759,92.0,3,2,Chung cư,,0,3790000000.0
4,44,379,110.0,3,2,Chung cư,Nội thất cao cấp,0,5000000000.0
16,197,1889,86.0,2,2,Chung cư,Nội thất đầy đủ,0,4500000000.0
9,102,902,85.0,2,2,Chung cư,Nội thất cao cấp,0,5500000000.0
8,86,759,78.0,2,2,Chung cư,,0,2780000000.0
14,166,1536,64.0,2,2,Chung cư,Hoàn thiện cơ bản,0,1930000000.0
15,178,1769,65.0,2,1,Chung cư,Nội thất đầy đủ,0,2500000000.0
19,248,2424,78.0,2,2,Chung cư,,0,3100000000.0
20,254,2511,40.0,1,1,Chung cư,Nội thất đầy đủ,0,1150000000.0
12,151,1314,65.0,2,0,Chung cư,,0,2200000000.0
15,194,1869,33.0,2,0,Chung cư,,0,2049999999.9999998
14,167,1559,53.0,1,1,Chung cư,Nội thất đầy đủ,0,2150000000.0
8,86,759,74.0,2,2,Chung cư,Hoàn thiện cơ bản,0,3330000000.0
9,102,902,81.0,3,2,Chung cư,Hoàn thiện cơ bản,0,3250000000.0
16,205,1965,36.0,2,1,Chung cư,Nội thất đầy đủ,0,1360000000.0
14,166,1526,48.0,1,1,Chung cư,Hoàn thiện cơ bản,0,2800000000.0
9,102,902,34.0,1,1,Chung cư,,0,1800000000.0
19,249,2458,60.0,2,2,Chung cư,,0,2400000000.0
12,151,1314,69.0,3,2,Chung cư,,0,1750000000.0
2,13,144,57.0,2,1,Chung cư,,0,3780000000.0
12,145,1255,42.0,2,1,Chung cư,Nội thất đầy đủ,0,1200000000.0
12,148,1290,68.0,2,2,Chung cư,Hoàn thiện cơ bản,0,2049999999.9999998
8,86,759,74.0,2,2,Chung cư,,1,2250000000.0
20,254,2511,75.0,2,2,Chung cư,,0,1650000000.0
8,86,759,95.0,3,2,Chung cư,,0,3150000000.0
8,89,832,62.0,2,2,Chung cư,,0,1930000000.0
8,86,759,62.0,2,2,Chung cư,,0,2250000000.0
19,245,2373,112.0,2,2,Chung cư,Hoàn thiện cơ bản,0,6300000000.0
9,102,902,67.0,2,2,Chung cư,,1,2600000000.0
18,227,2139,71.0,2,2,Chung cư,Nội thất cao cấp,0,6200000000.0
9,100,893,54.3,2,2,Chung cư,Hoàn thiện cơ bản,0,3900000000.0
8,98,880,79.0,2,2,Chung cư,Nội thất đầy đủ,0,2500000000.0
9,102,902,30.0,1,1,Chung cư,Nội thất cao cấp,0,1400000000.0
7,78,666,42.0,1,1,Officetel,Hoàn thiện cơ bản,0,1800000000.0
20,254,2511,78.0,2,2,Chung cư,Nội thất cao cấp,0,3600000000.0
12,145,1255,42.0,2,1,Chung cư,Nội thất cao cấp,0,1200000000.0
12,151,1314,65.0,2,2,Chung cư,Hoàn thiện cơ bản,0,1900000000.0
15,193,1864,52.0,1,1,Officetel,Nội thất đầy đủ,0,2850000000.0
19,245,2373,70.0,2,2,Chung cư,Nội thất cao cấp,0,3490000000.0
9,102,902,81.0,3,2,Chung cư,Hoàn thiện cơ bản,0,3290000000.0
8,86,759,55.0,2,1,Chung cư,,0,2360000000.0
9,102,902,46.5,1,1,Chung cư,Hoàn thiện cơ bản,0,2118000000.0
19,245,2373,100.0,2,2,Chung cư,Nội thất đầy đủ,0,5600000000.0
9,102,902,47.0,1,1,Chung cư,,0,1890000000.0
10,125,1108,88.0,2,2,Chung cư,Nội thất đầy đủ,0,5250000000.0
9,102,902,30.0,1,1,Chung cư,Nội thất cao cấp,1,1470000000.0
12,145,1255,44.0,2,1,Chung cư,Nội thất đầy đủ,0,1300000000.0
20,265,2563,38.0,1,1,Chung cư,,0,750000000.0
24,312,2756,71.6,2,2,Chung cư,Nội thất cao cấp,0,3300000000.0
24,312,2756,61.0,2,0,Chung cư,,0,1750000000.0
7,78,666,53.0,1,1,Chung cư,,0,3100000000.0
19,241,2313,72.0,2,2,Chung cư,Hoàn thiện cơ bản,0,2450000000.0
14,166,1526,51.0,1,1,Chung cư,Hoàn thiện cơ bản,0,2990000000.0
7,74,588,56.65,2,1,Chung cư,Hoàn thiện cơ bản,0,2500000000.0
8,98,875,70.0,2,0,Chung cư,Nội thất đầy đủ,0,2150000000.0
8,98,880,60.0,2,2,Chung cư,,0,1500000000.0
20,252,2486,54.0,2,2,Chung cư,Nội thất đầy đủ,0,1350000000.0
15,178,1770,67.0,2,0,Chung cư,,0,3300000000.0
8,89,832,62.0,2,2,Chung cư,Hoàn thiện cơ bản,0,1830000000.0
8,89,827,65.0,2,2,Chung cư,Nội thất đầy đủ,0,1700000000.0
18,238,2267,30.0,1,0,Chung cư,,0,830000000.0
18,238,2267,30.0,1,0,Chung cư,,0,830000000.0
14,175,1744,78.0,3,2,Chung cư,Nội thất đầy đủ,1,1900000000.0
12,147,1272,59.0,2,2,Chung cư,Nội thất cao cấp,1,2100000000.0
19,245,2373,63.0,2,1,Chung cư,,0,3500000000.0
9,102,902,54.0,2,1,Chung cư,Nội thất đầy đủ,0,1900000000.0
9,102,902,58.0,2,2,Chung cư,Nội thất đầy đủ,0,2500000000.0
12,145,1255,42.0,2,1,Chung cư,Nội thất đầy đủ,0,1000000000.0
6,69,547,100.0,2,2,Chung cư,Nội thất đầy đủ,0,3000000000.0
8,98,879,75.0,2,2,Chung cư,,0,1500000000.0
1,6,63,42.38,2,1,Chung cư,Bàn giao thô,0,1800000000.0
20,260,2539,77.0,3,2,Chung cư,Nội thất đầy đủ,0,2750000000.0
20,254,2511,85.0,2,1,Chung cư,,0,3835000000.0
15,178,1770,51.0,2,1,Chung cư,,0,2550000000.0
15,178,1770,66.0,2,2,Chung cư,,1,3100000000.0
12,153,1349,50.0,1,1,Chung cư,,0,1940000000.0
14,166,1546,80.0,2,2,Chung cư,Hoàn thiện cơ bản,0,3800000000.0
4,32,326,92.0,2,2,Chung cư,Nội thất cao cấp,0,5400000000.0
8,98,875,69.0,2,2,Chung cư,Nội thất đầy đủ,0,1850000000.0
12,146,1259,73.0,3,2,Chung cư,Nội thất đầy đủ,0,2680000000.0
8,98,880,73.0,2,2,Chung cư,Hoàn thiện cơ bản,0,2350000000.0
4,32,326,117.0,3,2,Chung cư,Nội thất đầy đủ,0,6600000000.0
5,51,431,78.0,4,1,Chung cư,,0,3290000000.0
12,153,1349,79.0,3,2,Chung cư,,0,3400000000.0
14,166,1546,121.0,3,3,Chung cư,,0,4500000000.0
14,166,1546,61.0,2,1,Chung cư,,0,3429000000.0
9,100,893,69.0,2,2,Chung cư,Nội thất đầy đủ,0,2950000000.0
