ward,district,Size,Rooms,Toilets,Floors,Type,FurnishingSell,Characteristics,Urgent,Price
Phường 8,Quận Gò Vấp,71.0,7,0,0,"Nhà ngõ, hẻm",,,0,7400000000.0
Phường Hiệp Thành,Quận 12,61.0,4,4,4,"Nhà ngõ, hẻm",,,0,5500000000.0
Phường Thạnh Xuân,Quận 12,64.0,7,6,0,Nhà phố liền kề,Hoàn thiện cơ bản,,0,4800000000.0
Xã Bình Chánh,Huyện Bình Chánh,69.99,3,3,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,800000000.0
Phường 7,Quận Gò Vấp,21.6,1,0,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,2600000000.0
Phường Phú Trung,Quận Tân Phú,115.0,10,6,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,10900000000.0
Phường Linh Xuân (Quận Thủ Đức cũ),Thành phố Thủ Đức,66.0,4,5,4,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,5750000000.0
Phường 7,Quận Phú Nhuận,40.0,3,5,5,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,7600000000.0
Phường Phú Hữu (Quận 9 cũ),Thành phố Thủ Đức,58.0,4,0,3,"Nhà ngõ, hẻm",,,0,4600000000.0
Phường Tân Thới Nhất,Quận 12,79.99,3,2,2,"Nhà ngõ, hẻm",,,0,4990000000.0
Phường 11,Quận 3,58.11,3,0,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,Hẻm xe hơi,0,5890000000.0
Đường Phạm Văn Đồng,,90.0,3,0,0,Nhà phố liền kề,,Hẻm xe hơi,0,5500000000.0
Phường An Khánh (Quận 2 cũ),Thành phố Thủ Đức,69.9,4,4,0,"Nhà mặt phố, mặt tiền",,Hẻm xe hơi,1,13500000000.0
Phường Hiệp Bình Phước (Quận Thủ Đức cũ),Thành phố Thủ Đức,57.2,1,1,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,4300000000.0
Phường Tân Thới Hiệp,Quận 12,51.0,4,0,0,"Nhà ngõ, hẻm",Nội thất cao cấp,"Hẻm xe hơi,Nhà nở hậu",0,4790000000.0
Phường Hiệp Bình Phước (Quận Thủ Đức cũ),Thành phố Thủ Đức,80.0,3,0,0,Nhà phố liền kề,,Hẻm xe hơi,0,4900000000.0
Phường 4,Quận Phú Nhuận,52.0,3,3,2,"Nhà ngõ, hẻm",,,0,7600000000.0
Phường Tăng Nhơn Phú B (Quận 9 cũ),Thành phố Thủ Đức,80.0,7,6,0,"Nhà ngõ, hẻm",,,0,7500000000.0
Phường Tân Phong,Quận 7,60.0,4,3,0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,8449999999.999999
Phường Bình Thuận,Quận 7,46.0,3,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4200000000.0
Phường 15,Quận Tân Bình,40.0,2,0,2,"Nhà ngõ, hẻm",,"Hẻm xe hơi,Nhà nở hậu",0,4200000000.0
Phường Tân Thuận Đông,Quận 7,40.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,3000000000.0
Phường 1,Quận 5,67.2,4,3,3,,,,0,13990000000.0
Phường Bình Trị Đông A,Quận Bình Tân,40.0,3,3,3,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,4700000000.0
Phường Hiệp Bình Phước (Quận Thủ Đức cũ),Thành phố Thủ Đức,16.6,2,2,0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,1050000000.0
Phường Tân Thới Hòa,Quận Tân Phú,50.83,3,4,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,1,2700000000.0
Phường 1,Quận 5,28.1,2,2,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,2550000000.0
Phường Trung Mỹ Tây,Quận 12,80.0,4,3,3,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,5500000000.0
Phường Hiệp Thành,Quận 12,58.0,4,5,0,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,5790000000.0
Phường Sơn Kỳ,Quận Tân Phú,66.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,5290000000.0
Phường 8,Quận 6,32.0,2,2,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,2700000000.0
Phường Phú Thạnh,Quận Tân Phú,91.0,3,0,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,Hẻm xe hơi,0,8700000000.0
Phường 3,Quận Bình Thạnh,20.0,2,2,1,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,1,2000000000.0
Phường 16,Quận Gò Vấp,62.0,6,0,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,7890000000.0
Phường 2,Quận Tân Bình,20.0,2,2,1,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,2000000000.0
Phường 11,Quận Phú Nhuận,24.0,2,2,2,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,3800000000.0
Phường 8,Quận Tân Bình,15.0,1,0,0,"Nhà ngõ, hẻm",,Nhà nở hậu,1,1350000000.0
Phường Tân Quý,Quận Tân Phú,80.0,3,2,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,6000000000.0
Phường Linh Đông (Quận Thủ Đức cũ),Thành phố Thủ Đức,103.99,3,1,2,"Nhà mặt phố, mặt tiền",,,0,6300000000.0
Phường Bình Hưng Hoà A,Quận Bình Tân,139.99,3,3,1,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,1,12500000000.0
Xã Bình Chánh,Huyện Bình Chánh,100.0,2,2,1,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,800000000.0
Xã Bình Chánh,Huyện Bình Chánh,84.97,2,2,2,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,0,650000000.0
Phường Tân Hưng Thuận,Quận 12,36.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,1800000000.0
Phường 15,Quận Tân Bình,48.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4400000000.0
Phường Bình Trị Đông A,Quận Bình Tân,76.0,7,5,5,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,8000000000.0
Phường Thới An,Quận 12,82.0,4,5,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,5650000000.0
Phường 12,Quận Gò Vấp,122.51,5,3,4,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,8600000000.0
Đường Nguyễn Trọng Tuyển,,49.5,3,3,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,9200000000.0
Phường 6,Quận Gò Vấp,52.0,4,5,5,"Nhà ngõ, hẻm",,,0,8000000000.0
Phường Bình Hưng Hòa,Quận Bình Tân,82.0,7,5,5,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,0,10500000000.0
Phường 11,Quận Gò Vấp,25.2,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,3240000000.0
Xã Hưng Long,Huyện Bình Chánh,100.0,4,4,0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,1,1420000000.0
Phường 3,Quận Gò Vấp,28.5,2,2,0,"Nhà ngõ, hẻm",,"Hẻm xe hơi,Nhà nở hậu",0,3700000000.0
Ấp 03,,113.99,6,6,0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,4000000000.0
