title,price,address,price_m2,rooms,toilets,direction,floors,property_legal_document,house_type,furnishing_sell,width,length,living_size,size,pty_characteristics
🔴 MT HỒ NGỌC CẨN P TÂN THÀNH TRƯƠNG VĨNH KÝ (4X22M) 2 LẦU GIÁ 11.8 TỶ - 119050235,"11,8 tỷ","Đường Hồ Ngọc Cẩn, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh","134,09 triệu/m²",4 phòng,4 phòng,Đông,,Đã có sổ,"Nhà mặt phố, mặt tiền",,4 m,22 m,400 m²,88 m²,Hẻm xe hơi
Bán nhà DT 4x13 Trệt Lửng 2pn số nhà Huyện Đông Thạnh Hóc Môn - 119652590,"1,48 tỷ","Đường Nguyễn Thị Sáng, Xã Đông Thạnh, Huyện Hóc Môn, Tp Hồ Chí Minh","28,46 triệu/m²",2 phòng,,,,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",,4 m,13 m,,52 m²,
Hẻm 7m  đường Vườn Lài dt 4.6x12m 3.5 tấm giá 6.9 tỷ - 114670039,"6,9 tỷ","Vườn Lài, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh","125,45 triệu/m²",4 phòng,4 phòng,Bắc,,Đã có sổ,"Nhà ngõ, hẻm",,4.6 m,12 m,200 m²,55 m²,Hẻm xe hơi
✈️ CHDV 5X19. MỚI XÂY. DÒNG TIỀN 36TR. THANG MÁY FULL NỘI THẤT VIP - 119530840,"13,5 tỷ","Đường số 28, Phường 6, Quận Gò Vấp, Tp Hồ Chí Minh",135 triệu/m²,10 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,100 m²,Hẻm xe hơi
🔴H8M THÔNG THOẠI NGỌC HẦU(4X18M) GÓC ĐỦ LỘ GIỚI 6.8 TỶ - 119142860,"6,8 tỷ","Đường Thoại Ngọc Hầu, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","94,44 triệu/m²",2 phòng,2 phòng,Nam,,Đã có sổ,"Nhà ngõ, hẻm",,4 m,18 m,,,
🔴 MT HỒ NGỌC CẨN P TÂN THÀNH TRƯƠNG VĨNH KÝ (4X22M) 2 LẦU GIÁ 11.8 TỶ - 119050235,"11,8 tỷ","Đường Hồ Ngọc Cẩn, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh","134,09 triệu/m²",4 phòng,4 phòng,Đông,,Đã có sổ,"Nhà mặt phố, mặt tiền",,4 m,22 m,400 m²,88 m²,Hẻm xe hơi
Bán nhà DT 4x13 Trệt Lửng 2pn số nhà Huyện Đông Thạnh Hóc Môn - 119652590,"1,48 tỷ","Đường Nguyễn Thị Sáng, Xã Đông Thạnh, Huyện Hóc Môn, Tp Hồ Chí Minh","28,46 triệu/m²",2 phòng,,,,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",,4 m,13 m,,52 m²,
Hẻm 7m  đường Vườn Lài dt 4.6x12m 3.5 tấm giá 6.9 tỷ - 114670039,"6,9 tỷ","Vườn Lài, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh","125,45 triệu/m²",4 phòng,4 phòng,Bắc,,Đã có sổ,"Nhà ngõ, hẻm",,4.6 m,12 m,200 m²,55 m²,Hẻm xe hơi
✈️ CHDV 5X19. MỚI XÂY. DÒNG TIỀN 36TR. THANG MÁY FULL NỘI THẤT VIP - 119530840,"13,5 tỷ","Đường số 28, Phường 6, Quận Gò Vấp, Tp Hồ Chí Minh",135 triệu/m²,10 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,100 m²,Hẻm xe hơi
"NHÀ 2/ NGẮN ĐƯỜNG TCH16, P.TCH, SHR - 119652580","3,15 tỷ","TÂN THỚI HIỆP 16, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh","78,75 triệu/m²",3 phòng,2 phòng,Đông Bắc,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,4 m,10 m,,40 m²,
🔴60TR/M2 PHÙ HỢP XÂY CHDV KHU ĐỐI DIỆN CELLADON (5X35M) GIÁ 10.5 TỶ - 117461297,"10,5 tỷ","Đường Kênh 19 Tháng 5, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",60 triệu/m²,6 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,5 m,35 m,175 m²,175 m²,Hẻm xe hơi
Nhà Gò Vấp 1/ Nguyễn Oanh khu dân cư cao cấp - 119652566,"8,7 tỷ","Đường Nguyễn Oanh, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh","124,29 triệu/m²",4 phòng,4 phòng,Tây Nam,3,Đã có sổ,Nhà phố liền kề,Nội thất cao cấp,4 m,17 m,200 m²,70 m²,Hẻm xe hơi
Bánnhà HXH Nguyễn Bỉnh Khiêm P.ĐK Q.1 4.3x15 nở hậu 8M T4L Giá 19.5tỷ - 119540833,"19,5 tỷ","Đường Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh","185,71 triệu/m²",7 phòng,Nhiều hơn 6 phòng,,4,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4.3 m,15 m,351.2 m²,105 m²,"Hẻm xe hơi,Nhà nở hậu"
✅HẺM 6M THÔNG VƯỜN LÀI(4.1X20M) GIÁ 7 TỶ GẦN LŨY BÁN BÍCH - 114656348,7 tỷ,"Vườn Lài, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh","85,37 triệu/m²",1 phòng,1 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4.1 m,20 m,82 m²,82 m²,Hẻm xe hơi
🔥 Ngang “KHỦNG” 6 MÉT - CHỈ NHỈNH 4TỶ - KDC VIP RIÊNG BIỆT 🔥 - 119005687,"3,95 tỷ","KDC COMPOUND, Phường 10, Quận 6, Tp Hồ Chí Minh","75,96 triệu/m²",1 phòng,1 phòng,,1,Đã có sổ,"Nhà ngõ, hẻm",Bàn giao thô,6.01 m,9.79 m,52 m²,52 m²,
🔴MẶT TIỀN RẺ NHẤT ĐƯỜNG TÂN SƠN NHÌ(4X16.5M0 GIÁ 13.5TỶ - 115355502,"13,5 tỷ","Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh","198,53 triệu/m²",4 phòng,4 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,4 m,16.5 m,180 m²,68 m²,
"Nhà Bán Gấp, Tân bình, 64m2, kg gian thiết kế hiện đại, có giếng trời. - 119537702","9,9 tỷ","Đường Trường Chinh, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh","154,69 triệu/m²",3 phòng,4 phòng,,4,Đã có sổ,"Nhà ngõ, hẻm",,4.3 m,15 m,,64 m²,Nhà nở hậu
Bán nhà khu Vạn Xuân đường Tl19 - p. Thạnh lộc - Q12 - 119652545,"4,75 tỷ","Tl19 , Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","81,90 triệu/m²",4 phòng,4 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,4 m,14.5 m,56 m²,58 m²,Hẻm xe hơi
Bán nhà HXH 8m đường Lê Văn Sỹ . DTCN: 100M2. Đơn giá: 120tr/m² - 119473764,13 tỷ,"Đường Lê Văn Sỹ, Phường 1, Quận Tân Bình, Tp Hồ Chí Minh",130 triệu/m²,4 phòng,,,4,Đã có sổ,"Nhà ngõ, hẻm",,4.5 m,22 m,,100 m²,"Nhà nở hậu,Hẻm xe hơi"
"Bán nhà 2/ liên ấp 2_6 DT: 4x12m lầu suốt 2pn,2wc đường 5m bê tông - 117217640","1,38 tỷ","Liên Ấp 2_6, Xã Vĩnh Lộc A, Huyện Bình Chánh, Tp Hồ Chí Minh","28,75 triệu/m²",2 phòng,2 phòng,,1,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",,4 m,12 m,96 m²,48 m²,Hẻm xe hơi
Chính chủ Bán nhà quận 8 - 119652536,"1,2 tỷ","Đường Bình Đức, Phường 15, Quận 8, Tp Hồ Chí Minh",60 triệu/m²,1 phòng,1 phòng,,1,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",,3 m,7 m,40 m²,20 m²,
"Bán nhà mới xây gần đường Đinh Đức Thiện, Bình Chánh - 119652533","1,285 tỷ","Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh","15,30 triệu/m²",4 phòng,3 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,6 m,14 m,84 m²,84 m²,Hẻm xe hơi
CHÍNH CHỦ BÁN CỤM NHÀ 2 LẦU +3NHÀ TRỌ - ĐANG CHO THUÊ 10 TRIỆU/ THÁNG - 118924667,"6,5 tỷ","Đường Số 10, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","66,33 triệu/m²",7 phòng,6 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,7 m,14 m,182 m²,98 m²,"Hẻm xe hơi,Nhà nở hậu"
"Nhà đẹp Thống nhất, Phường 16, 2 Tầng, 5mx11.2m, hẻm 3m, Quận Gò Vấp - 119652527","4,95 tỷ","Đường Thống Nhất, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh","88,39 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",,5 m,11.2 m,90 m²,56 m²,
"Nhà đẹp Thống nhất, Phường 16, 2 Tầng, 5mx11.2m, hẻm 3m, Quận Gò Vấp - 119652527","4,95 tỷ","Đường Thống Nhất, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh","88,39 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",,5 m,11.2 m,90 m²,56 m²,
nhà đường 7m trịnh đình trọng 4x16m 2 lầu 5 phòng ngủ - 119652524,"8,15 tỷ","Đường Trịnh Đình Trọng, Phường Phú Trung, Quận Tân Phú, Tp Hồ Chí Minh","127,34 triệu/m²",5 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,64 m²,
"Bán nhà Khu phân lô VIP Hương Lộ 2. Nhà mới đẹp 3 tầng, 5x14m. Ở ngay - 119505816","5,3 tỷ","Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh","75,71 triệu/m²",4 phòng,5 phòng,Đông,3,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,5 m,14 m,210 m²,70 m²,Hẻm xe hơi
BÁN NHÀ KHU VỰC KIẾN THIẾT QUẬN 9 (CŨ) - 119652513,"13,9 tỷ","Đường Trịnh Hoài Đức, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","150,11 triệu/m²",3 phòng,4 phòng,Tây,4,Đã có sổ,"Nhà mặt phố, mặt tiền",,6.6 m,18 m,289.2 m²,92.6 m²,"Hẻm xe hơi,Nhà nở hậu"
BÁN GẤP nhà Bình Chánh giá rẻ Ngay Bệnh Viện Nhi Đồng - SHR. - 119652508,780 triệu,"Đường Khuất Văn Bức, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh","7,80 triệu/m²",3 phòng,,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,4 m,25 m,,100 m²,
"Bán Nhà Mặt Tiền Đường Hậu Giang, Quận 6 - 5 Tầng, 79m² - 119652489",18 tỷ,"Đường Hậu Giang, Phường 12, Quận 6, Tp Hồ Chí Minh","227,85 triệu/m²",5 phòng,5 phòng,,5,Đã có sổ,"Nhà mặt phố, mặt tiền",,3 m,23 m,,79 m²,
Bán Nhà Mới Đẹp Nguyễn Kiệm P3 Gò Vấp (Bệnh Viện 175) Hẻm ôtô Giá 7TỷX - 119652468,"7,896 tỷ","Đường Nguyễn Kiệm, Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh","109,67 triệu/m²",3 phòng,,Tây Bắc,2,Đã có sổ,"Nhà ngõ, hẻm",,,,,72 m²,Hẻm xe hơi
"NHÀ SHR / ĐƯỜNG TÂN THỚI HIỆP 20, 4PN,3WC - 119652486","3,78 tỷ","tân thới hiệp 20, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh",90 triệu/m²,4 phòng,3 phòng,Tây Nam,1,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,4 m,12 m,105.6 m²,42 m²,
Bán nhà đường nội bộ cư xá ra đa p13 Q6 - 115682374,"3,88 tỷ","Cư Xá Ra Đa P 13 q6, Phường 13, Quận 6, Tp Hồ Chí Minh","132,88 triệu/m²",3 phòng,3 phòng,Bắc,,Đã có sổ,"Nhà ngõ, hẻm",,3.6 m,8.1 m,,29.2 m²,
"Bán căn hộ dịch vụ mặt tiền đường 268m², Doanh thu 50tr/1Thg - 119304102","13,4 tỷ","186B4, Đường Lê Đức Thọ, Thống Nhất, Nguyễn văn Lượng, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh","84,81 triệu/m²",9 phòng,Nhiều hơn 6 phòng,,3,Đã có sổ,"Nhà mặt phố, mặt tiền",,,30 m,,158 m²,
"Bán GẤP nhà trệt hẻm 82m2, đường Đào Sư Tích, huyện Nhà Bè - 119651936","4,9 tỷ","Hẻm 423 Đào Sư Tích, Xã Phước Lộc, Huyện Nhà Bè, Tp Hồ Chí Minh","59,76 triệu/m²",1 phòng,1 phòng,Đông,1,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,5.5 m,15 m,,82 m²,Hẻm xe hơi
"chợ Gò Vấp,
DTS 54M2
HẺM 1 TRỤC NGUYỄN THÁI SƠN P.4 GÒ VẤP 3,4x TY - 119652447","3,45 tỷ","1 sec, Đường Nguyễn Thái Sơn, Phường 4, Quận Gò Vấp, Tp Hồ Chí Minh","118,97 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,3.75 m,8 m,54 m²,29 m²,
🔥 Lô ngang 5M - KDC compound - Ngay Aeon Bình Tân - 118869793,"5,5 tỷ","KDC Lâm Hoành , Phường 10, Quận 6, Tp Hồ Chí Minh","66,67 triệu/m²",1 phòng,1 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Bàn giao thô,5 m,16 m,82.5 m²,82.5 m²,
Bán nhà 6x20m 2 lầu hxh đường Lê Đức Thọ Gò Vấp - 119367010,"8,9 tỷ","Đường Lê Đức Thọ, Phường 13, Quận Gò Vấp, Tp Hồ Chí Minh","74,17 triệu/m²",4 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,6 m,20 m,,120 m²,
Bán Nhà Ngang 4m Hẻm xe hơi Đường Quang Trung - 119652411,"7,499 tỷ","Đường Quang Trung, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","147,06 triệu/m²",4 phòng,5 phòng,,4,Đã có sổ,"Nhà ngõ, hẻm",,4 m,13 m,,51 m²,Hẻm xe hơi
"BÁN NHÀ SHC 1 LỮNG 1 LẦU ĐÚC BTCT LÊ THỊ RIÊNG P.THỚI AN Q.12- 1,75 TỶ - 119377865","1,75 tỷ","Đường Lê Thị Riêng, Phường Thới An, Quận 12, Tp Hồ Chí Minh","60,34 triệu/m²",3 phòng,3 phòng,Đông,3,Sổ chung / công chứng vi bằng,Nhà phố liền kề,Nội thất đầy đủ,3.3 m,9 m,70 m²,29 m²,
"Nhà cấp 4 xây cao tầng, CN 65m2, HXH Xô Viết gần Thị Nghè - 119278474","7,2 tỷ","Đường Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh","110,77 triệu/m²",2 phòng,,,1,Đã có sổ,"Nhà ngõ, hẻm",,3.6 m,18 m,,65 m²,Hẻm xe hơi
Kẹt vốn chủ đầu tư bán lại giá thị trường 850trieu  sổ Hồng riêng - 119652385,850 triệu,"Đường Trịnh Như Khuê, Bình Chánh, Hồ Chí Minh, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh","6,80 triệu/m²",4 phòng,2 phòng,Tây Nam,1,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,4.1 m,30 m,250 m²,125 m²,Hẻm xe hơi
Kẹt vốn chủ đầu tư bán lại giá thị trường 850trieu  sổ Hồng riêng - 119652385,850 triệu,"Đường Trịnh Như Khuê, Bình Chánh, Hồ Chí Minh, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh","6,80 triệu/m²",4 phòng,2 phòng,Tây Nam,1,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,4.1 m,30 m,250 m²,125 m²,Hẻm xe hơi
"NHÀ 3 MẶT THOÁNG, SỔ ĐẸP - 3 THÁNG 2 - 29/38M2, 3TẦNG - 7TỶ - 118487021",7 tỷ,"Đường 3 Tháng 2, Phường 11, Quận 10, Tp Hồ Chí Minh","241,38 triệu/m²",3 phòng,4 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",,,,38 m²,29 m²,Hẻm xe hơi
NHÀ ĐÚC LỬNG HẺM XE HƠI DIỆN TÍCH QUÁ ĐẸP - 119652375,"4,95 tỷ","1/, Đường Số 20, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",66 triệu/m²,2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,5 m,15 m,,75 m²,Hẻm xe hơi
"GẤP BÁN NHÀ KHU VIP, PHÚ HỮU, Q9, 53M2, 3 TẦNG, GIẢM 700Tr CÒN 5.1 TỶ - 119506828","5,1 tỷ","Đường Nguyễn Duy Trinh, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","96,23 triệu/m²",4 phòng,,,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4.5 m,12 m,,53 m²,
HUỲNH THIỆN LỘC - HẺM OTO 5M - NGANG KHỦNG 6M - 2 TẦNG - 119610555,"5,2 tỷ","Đường Huỳnh Thiện Lộc, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","69,33 triệu/m²",3 phòng,3 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,5.8 m,13 m,150 m²,75 m²,"Hẻm xe hơi,Nhà nở hậu"
Nhà mặt tiền đường số 1 Mã Lò 4.5 x 9.5 2 lầu quận Bình Tân - 119623349,"4,85 tỷ","Số 1, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh","118,29 triệu/m²",3 phòng,3 phòng,Tây,,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,4.5 m,9.5 m,41 m²,41 m²,
Nhà góc 2 mặt đường số phường tân quy Q7 ! - 116268752,"32,9 tỷ","Đường Số 41, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh","361,54 triệu/m²",8 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,6 m,18 m,419 m²,91 m²,
bán đất tặng dãy trọ q12 gần ngã 4 ga - 119652338,"7,2 tỷ","30/15, Đường Thạnh Lộc 03, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","51,58 triệu/m²",7 phòng,Nhiều hơn 6 phòng,Đông Bắc,1,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,5 m,28 m,139.6 m²,139.6 m²,Hẻm xe hơi
"Bán nhà Trường Chinh, Tân Bình - 1 trệt 2 lầu hẻm xe hơi - 9 tỷ 500tr - 117704809","9,9 tỷ","Đường Trường Chinh, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh","154,69 triệu/m²",3 phòng,4 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,4.3 m,15 m,170 m²,64 m²,Hẻm xe hơi
"Nhà Mặt tiền Tân Phú - 2 tầng, dt 8m x 30m cần bán nhanh. - 118907223","29,5 tỷ","Đường Phan Đình Phùng, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh","122,92 triệu/m²",6 phòng,4 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,8 m,,,,
"NGÔ QUYỀN QUẬN 5 , BÁN NHÀ MẶT TIỀN 4 TẦNG 120M2 NỞ HẬU TÀI LỘC - 119652332",23 tỷ,"Đường Ngô Quyền, Phường 7, Quận 5, Tp Hồ Chí Minh","191,67 triệu/m²",4 phòng,4 phòng,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,6 m,20 m,,120 m²,Nhà nở hậu
Nhà phố 5m x 18m. Xây bán hầm 3 lầu view Công Viên KDC Phú Nhuận - 116792745,"7,69 tỷ","Lê Thị Riêng, Phường Thới An, Quận 12, Tp Hồ Chí Minh","85,44 triệu/m²",5 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,,,,90 m²,"Hẻm xe hơi,Nhà nở hậu"
"Bán nhà Bùi Thị Xuân, Tân Bình - 2 tầng, 2 PN - dt 34m2 nhỉnh 4 tỷ. - 118323166","4,3 tỷ","Đường Bùi Thị Xuân, Phường 3, Quận Tân Bình, Tp Hồ Chí Minh","126,47 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,3.2 m,11 m,62 m²,34 m²,
"Cần tiền bán căn hộ dịch vụ 4,03x20 ,4 lầu,chỉ 9ty886tr,Gò dầu,tân phú - 119652315","9,886 tỷ","Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","122,05 triệu/m²",nhiều hơn 10 phòng,Nhiều hơn 6 phòng,Đông,4,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,4.08 m,20 m,370 m²,81 m²,"Hẻm xe hơi,Nhà nở hậu"
NHÀ 2 MẶT HẺM-120M2-4PN-5WC-NỞ HẬU-THỐNG NHẤT P15 GV-CHỈ 6TỶ4 - 109267950,"6,4 tỷ","Đường Thống Nhất, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh","53,33 triệu/m²",4 phòng,,,,,"Nhà ngõ, hẻm",,,,,120 m²,
"💥 Nhà vị trí đẹp hẻm 6m Bàu Cát, DT: 64m2, 3 tầng - TT chính xác 100% - 119256063","9,8 tỷ","Đường Đồng Đen, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh","153,12 triệu/m²",4 phòng,3 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,3.7 m,17 m,64 m²,64 m²,Hẻm xe hơi
"NHÀ PHỐ 5Tầng BTCT - HXH TRÁNH, THỐNG NHẤT P16 Gò Vấp - 119331576","8,1 tỷ","Đường Thống Nhất, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh","144,64 triệu/m²",4 phòng,5 phòng,,,Đã có sổ,Nhà phố liền kề,Nội thất đầy đủ,4 m,14 m,190 m²,56 m²,Hẻm xe hơi
"SIÊU PHẨM NHÀ PHỐ LIỀN KỀ GIÁ TỐT, KHU VÍP - P6 GÒ VẤP - 119330340","8,5 tỷ","Đường Nguyễn Oanh, Phường 6, Quận Gò Vấp, Tp Hồ Chí Minh","140,50 triệu/m²",5 phòng,5 phòng,,5,Đã có sổ,Nhà phố liền kề,,4 m,15 m,220 m²,60.5 m²,Hẻm xe hơi
"Bán nhà mới 1trệt, 1lầu, 3PN Cao Xuân Dục P12, Q8 dt 43m2 giá 4,35 tỷ - 119652287","4,35 tỷ","Đường Cao Xuân Dục, Phường 12, Quận 8, Tp Hồ Chí Minh","101,16 triệu/m²",3 phòng,2 phòng,Tây Bắc,2,Đã có sổ,"Nhà ngõ, hẻm",,3.36 m,12.7 m,78 m²,43 m²,
BÁN GẤP NHÀ BIỆT THỰ MINI - 118248707,"10,5 tỷ","Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","65,22 triệu/m²",5 phòng,4 phòng,,3,Đã có sổ,Nhà biệt thự,Nội thất cao cấp,6 m,23 m,161 m²,161 m²,Hẻm xe hơi
BÁN GẤP NHÀ BIỆT THỰ MINI - 118248707,"10,5 tỷ","Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","65,22 triệu/m²",5 phòng,4 phòng,,3,Đã có sổ,Nhà biệt thự,Nội thất cao cấp,6 m,23 m,161 m²,161 m²,Hẻm xe hơi
"3,3 Tỷ Sở Hữu Ngay Căn Nhà Siêu Rộng Tại Trung Tâm Quận Gò Vấp - 118729766","3,3 tỷ","Đường Thống Nhất, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh",75 triệu/m²,2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4 m,11 m,88 m²,44 m²,Hiện trạng khác
Quận 12 nguyễn văn quá nhà tốt mới xây hẻm xe hơi - 119011885,"1,59 tỷ","Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh","63,60 triệu/m²",2 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,4 m,9 m,,25 m²,Hẻm xe hơi
Bán hoặc cho thuê Biệt thự góc 2 mặt tiền đường Ng thị Nuôi - 110417361,"14,5 tỷ","Nguyễn Thị Nuôi, Xã Tân Thới Nhì, Huyện Hóc Môn, Tp Hồ Chí Minh","64,44 triệu/m²",4 phòng,5 phòng,Đông Nam,2,Đã có sổ,"Nhà mặt phố, mặt tiền",,10.2 m,22.5 m,197 m²,225 m²,
"CHỦ NHÀ KẸT TIỀN CẦN BÁN GẤP NHÀ BÀ HOM, P13, Q6, DT 50m2, GIÁ 1T890TR - 116067951","1,89 tỷ","Đường Bà Hom, Phường 13, Quận 6, Tp Hồ Chí Minh","151,20 triệu/m²",2 phòng,3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,12.5 m²,Hẻm xe hơi
Nhà đẹp 3T có ST hẻm ô tô gần TT nhà bè - 50m2 4pn - shr chỉ 3.55 tỷ - 119652258,"3,55 tỷ","Hẻm 2174/2 Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh",71 triệu/m²,4 phòng,3 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,3.5 m,14 m,66 m²,50 m²,Hẻm xe hơi
"Hẻm oto, Quang trung, ngay ngã 6 Gò Vấp, 2 tầng, 47m2, P.10, Gò Vấp - 119652240","4,9 tỷ","Đường Quang Trung, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","106,52 triệu/m²",3 phòng,2 phòng,Tây Nam,2,Đã có sổ,"Nhà ngõ, hẻm",,3.2 m,15.5 m,93 m²,46 m²,Hẻm xe hơi
"Bán Nhà phố 4PN, 4WC, 85m2, Khu compound Melosa Khang Điền, Phú Hữu,Q9 - 119496761","8,3 tỷ","Số, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","101,22 triệu/m²",4 phòng,4 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,5 m,17 m,,82 m²,
"1/ đường Gò Xoài , DT : 8,6m * 27m ,  1 trệt 2 lầu + ST, hẻm nhựa 10m - 116087364",15 tỷ,"1/, Đường Gò Xoài, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh","65,22 triệu/m²",5 phòng,,,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,8.6 m,27 m,550 m²,230 m²,"Nhà nở hậu,Hẻm xe hơi"
