DistrictId,WardId,StreetId,Size,Rooms,Toilets,Floors,Type,FurnishingSell,Characteristics,Urgent,Price
16,210,2004,62.0,6,0,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,7890000000.0
17,221,2102,24.0,2,2,2,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,3800000000.0
18,233,2205,15.0,1,0,0,"Nhà ngõ, hẻm",,Nhà nở hậu,1,1350000000.0
19,246,2383,80.0,3,2,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,6000000000.0
14,169,1606,139.99,3,3,1,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,1,12500000000.0
20,253,2491,100.0,2,2,1,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,800000000.0
20,253,2500,84.97,2,2,2,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,0,650000000.0
12,149,1299,36.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,1800000000.0
18,225,2123,48.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4400000000.0
12,143,1234,82.0,4,5,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,5650000000.0
16,206,1974,122.51,5,3,4,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,8600000000.0
16,200,1913,52.0,4,5,5,"Nhà ngõ, hẻm",,,0,8000000000.0
14,168,1573,82.0,7,5,5,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,0,10500000000.0
16,205,1966,25.2,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,3240000000.0
20,257,2522,100.0,4,4,0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,1,1420000000.0
16,197,1890,28.5,2,2,0,"Nhà ngõ, hẻm",,"Hẻm xe hơi,Nhà nở hậu",0,3700000000.0
20,265,2562,40.0,3,3,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,1900000000.0
12,147,1275,65.0,4,5,0,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,5380000000.0
3,29,318,34.0,3,0,5,Nhà phố liền kề,,,0,7800000000.0
11,137,1198,27.0,2,2,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,4200000000.0
20,265,2558,62.0,2,2,0,"Nhà ngõ, hẻm",,,0,2250000000.0
9,109,987,85.0,4,4,2,"Nhà ngõ, hẻm",,,0,4900000000.0
20,265,2557,54.0,3,2,0,"Nhà ngõ, hẻm",,,0,2100000000.0
20,265,2562,47.99,2,2,0,"Nhà ngõ, hẻm",,,0,1400000000.0
20,254,2507,100.0,1,1,1,"Nhà mặt phố, mặt tiền",,,0,13500000000.0
12,150,1310,58.0,2,0,0,"Nhà ngõ, hẻm",Nội thất cao cấp,"Hẻm xe hơi,Nhà nở hậu",0,3650000000.0
14,166,1536,70.0,4,2,0,"Nhà ngõ, hẻm",,Nhà nở hậu,0,5200000000.0
10,120,1067,34.0,3,2,3,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,5800000000.0
12,147,1267,30.0,2,2,0,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,1550000000.0
19,243,2332,58.0,3,0,0,"Nhà ngõ, hẻm",,,0,4200000000.0
9,109,975,64.0,2,1,2,Nhà phố liền kề,Hoàn thiện cơ bản,,0,4900000000.0
24,310,2749,90.0,4,4,3,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,0,5550000000.0
16,205,1966,49.0,4,3,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,3800000000.0
17,217,2064,40.0,3,0,0,"Nhà ngõ, hẻm",,,0,3100000000.0
19,245,2365,60.0,5,5,5,"Nhà ngõ, hẻm",,,0,9500000000.0
18,233,2205,45.0,7,0,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,1,6300000000.0
15,179,1771,63.0,4,4,3,Nhà phố liền kề,Nội thất đầy đủ,,1,2450000000.0
1,6,68,31.0,3,3,3,"Nhà ngõ, hẻm",,"Nhà nở hậu,Hẻm xe hơi",0,3920000000.0
20,262,2548,95.03,3,2,1,"Nhà ngõ, hẻm",Bàn giao thô,,0,1490000000.0
6,69,548,114.99,1,1,1,"Nhà ngõ, hẻm",Bàn giao thô,,1,7600000000.0
10,112,1008,44.6,3,2,1,Nhà phố liền kề,,,0,6700000000.0
8,84,746,48.0,4,4,4,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,5250000000.0
7,76,615,63.0,4,4,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,5780000000.0
20,251,2484,108.0,3,3,2,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,0,1310000000.0
1,6,70,54.0,5,5,5,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,12800000000.0
16,204,1955,72.5,3,2,1,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,6000000000.0
13,157,1422,40.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4300000000.0
8,85,753,86.0,6,5,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,8900000000.0
24,311,2750,80.02,3,2,2,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,1930000000.0
12,152,1326,24.0,2,0,0,Nhà phố liền kề,,,0,1150000000.0
16,206,1968,38.0,2,2,2,"Nhà ngõ, hẻm",,,0,3580000000.0
10,117,1048,40.0,4,3,3,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,5300000000.0
18,233,2205,56.0,1,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,4090000000.0
17,222,2103,20.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,2230000000.0
16,211,2014,83.0,1,1,1,"Nhà ngõ, hẻm",,,0,4990000000.0
16,200,1913,65.0,4,6,4,"Nhà ngõ, hẻm",,,0,7900000000.0
16,206,1968,60.0,3,2,3,"Nhà mặt phố, mặt tiền",,,0,5950000000.0
12,148,1279,64.0,2,2,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,3850000000.0
16,203,1950,40.0,2,0,2,"Nhà ngõ, hẻm",,,0,3290000000.0
19,241,2310,30.0,4,3,3,"Nhà ngõ, hẻm",,,1,3100000000.0
17,216,2052,56.0,4,0,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4590000000.0
14,171,1653,38.0,4,0,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,3950000000.0
1,5,52,25.1,2,3,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4650000000.0
14,171,1656,64.0,3,0,2,"Nhà ngõ, hẻm",,,0,4700000000.0
16,197,1889,40.0,3,0,0,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,3880000000.0
16,211,2017,42.0,3,0,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,3450000000.0
14,169,1616,48.0,4,0,0,"Nhà ngõ, hẻm",,,0,5700000000.0
6,69,547,30.0,1,1,0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,720000000.0
16,208,1990,31.0,2,2,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,3200000000.0
14,166,1526,70.0,3,3,3,"Nhà ngõ, hẻm",,,0,5500000000.0
14,172,1672,40.0,2,0,0,"Nhà ngõ, hẻm",,,0,3870000000.0
16,206,1968,38.0,2,2,2,"Nhà ngõ, hẻm",Nội thất cao cấp,Hẻm xe hơi,0,4380000000.0
16,204,1956,75.0,4,3,2,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,5000000000.0
16,197,1891,28.5,2,2,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,3700000000.0
14,170,1627,21.0,2,0,0,"Nhà ngõ, hẻm",,,0,1790000000.0
14,169,1593,32.0,2,0,0,"Nhà ngõ, hẻm",,,0,3520000000.0
11,134,1180,10.0,2,2,0,"Nhà ngõ, hẻm",,,0,1190000000.0
23,305,2725,44.03,2,0,2,"Nhà ngõ, hẻm",,,1,350000000.0
18,229,2166,88.54,10,0,5,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,11800000000.0
17,219,2074,53.3,5,0,0,"Nhà mặt phố, mặt tiền",,,0,13000000000.0
16,210,2005,75.0,4,4,3,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,0,12800000000.0
16,205,1966,28.0,3,2,0,"Nhà ngõ, hẻm",,,0,3150000000.0
14,170,1647,52.0,4,0,0,"Nhà ngõ, hẻm",,,0,4850000000.0
16,206,1974,33.0,3,3,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4200000000.0
7,79,678,102.61,2,0,0,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,5900000000.0
15,178,1769,74.01,5,5,5,Nhà phố liền kề,Nội thất đầy đủ,,0,2850000000.0
16,202,1938,52.8,4,3,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,3900000000.0
14,171,1656,68.0,5,0,5,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,6900000000.0
4,39,355,32.1,2,3,4,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,4350000000.0
14,170,1647,48.0,4,0,0,"Nhà ngõ, hẻm",,,0,4600000000.0
12,152,1321,28.0,3,3,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,1300000000.0
24,311,2750,80.02,3,2,2,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,,0,1930000000.0
16,206,1972,70.0,5,6,3,"Nhà mặt phố, mặt tiền",,,0,10000000000.0
23,302,2701,100.0,3,0,0,"Nhà mặt phố, mặt tiền",,,0,2950000000.0
15,178,1770,33.8,2,2,2,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,3800000000.0
17,217,2066,58.2,4,3,4,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4000000000.0
16,207,1982,39.0,3,3,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,2300000000.0
16,202,1942,64.7,4,4,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4200000000.0
16,206,1971,61.0,2,2,2,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,6290000000.0
3,25,282,48.0,3,3,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,6200000000.0
16,206,1975,110.0,5,5,4,"Nhà ngõ, hẻm",Nội thất cao cấp,Hẻm xe hơi,0,8000000000.0
19,242,2318,26.0,2,2,2,"Nhà mặt phố, mặt tiền",,,0,2650000000.0
18,228,2158,60.0,3,3,2,Nhà phố liền kề,Nội thất đầy đủ,,1,5700000000.0
23,305,2725,21.0,2,2,0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,1,320000000.0
