price,area,bedroom,toilet,district,province
3240000000.0,180.0,3.0,3.0,An Dương,Hải Phòng
4950000000.0,116.0,3.0,2.0,Hà Đông,Hà Nội
8500000000.0,90.0,2.0,2.0,Văn Giang,Hưng Yên
20000000000.0,96.0,3.0,2.0,Văn Giang,Hưng Yên
9900000000.0,70.0,2.0,2.0,Văn Giang,Hưng Yên
2300000000.0,52.0,1.0,1.0,Quận 12,Hồ Chí Minh
29000000000.0,198.0,4.0,3.0,Hà Đông,Hà Nội
17000000000.0,96.0,4.0,4.0,Văn Giang,Hưng Yên
3000000000.0,52.0,1.0,2.0,Long Biên,Hà Nội
15500000000.0,108.0,2.0,2.0,Sơn Trà,Đà Nẵng
2770000000.0,62.0,2.0,2.0,Hạ Long,Quảng Ninh
5600000000.0,60.0,6.0,5.0,Bình Thạnh,Hồ Chí Minh
3300000000.0,100.0,3.0,3.0,Tân Uyên,Bình Dương
7700000000.0,70.0,2.0,1.0,Văn Giang,Hưng Yên
6500000000.0,83.0,2.0,1.0,Cầu Giấy,Hà Nội
2530000000.0,69.0,2.0,2.0,Quận 9,Hồ Chí Minh
2700000000.0,37.4,1.0,1.0,Sơn Trà,Đà Nẵng
12500000000.0,93.0,2.0,1.0,Hà Đông,Hà Nội
2700000000.0,60.0,2.0,2.0,Dĩ An,Bình Dương
2560000000.0,59.0,2.0,2.0,Quận 9,Hồ Chí Minh
6000000000.0,77.0,2.0,2.0,Cầu Giấy,Hà Nội
27600000000.0,230.0,3.0,3.0,Hà Đông,Hà Nội
7000000000.0,65.0,1.0,1.0,Văn Giang,Hưng Yên
2300000000.0,42.0,1.0,1.0,Sơn Trà,Đà Nẵng
6150000000.0,52.0,1.0,1.0,Quận 2,Hồ Chí Minh
3400000000.0,92.0,3.0,2.0,Hà Đông,Hà Nội
18000000000.0,90.0,2.0,1.0,Hoài Đức,Hà Nội
1200000000.0,60.0,1.0,1.0,Thủy Nguyên,Hải Phòng
5800000000.0,128.0,4.0,3.0,Hai Bà Trưng,Hà Nội
4900000000.0,53.0,1.0,1.0,Quận 2,Hồ Chí Minh
7500000000.0,64.0,1.0,1.0,Quận 2,Hồ Chí Minh
21700000000.0,144.7,3.0,2.0,Nam Từ Liêm,Hà Nội
6400000000.0,68.0,4.0,6.0,Thủ Đức,Hồ Chí Minh
2400000000.0,60.0,2.0,2.0,Quận 9,Hồ Chí Minh
3600000000.0,60.0,2.0,2.0,Nam Từ Liêm,Hà Nội
4400000000.0,72.0,2.0,2.0,Quận 2,Hồ Chí Minh
3800000000.0,70.0,3.0,2.0,Nam Từ Liêm,Hà Nội
4400000000.0,74.1,3.0,2.0,Nam Từ Liêm,Hà Nội
6700000000.0,55.0,4.0,5.0,Gò Vấp,Hồ Chí Minh
6880000000.0,80.0,2.0,2.0,Hai Bà Trưng,Hà Nội
3250000000.0,55.0,4.0,2.0,Bình Thạnh,Hồ Chí Minh
7560000000.0,65.0,2.0,1.0,Văn Giang,Hưng Yên
6500000000.0,58.0,1.0,1.0,Phú Quốc,Kiên Giang
3080000000.0,67.0,3.0,2.0,Đông Anh,Hà Nội
8500000000.0,75.0,2.0,2.0,Quận 2,Hồ Chí Minh
3100000000.0,60.0,1.0,1.0,Thạch Thất,Hà Nội
2690000000.0,56.0,1.0,1.0,Thủ Dầu Một,Bình Dương
7180000000.0,136.1,4.0,3.0,Hoài Đức,Hà Nội
3140000000.0,77.0,3.0,2.0,Đông Anh,Hà Nội
26500000000.0,68.0,4.0,4.0,Tây Hồ,Hà Nội
1820000000.0,43.0,1.0,1.0,Gia Lâm,Hà Nội
2900000000.0,63.4,3.0,2.0,Dĩ An,Bình Dương
13900000000.0,180.0,4.0,3.0,Thủy Nguyên,Hải Phòng
9600000000.0,100.0,3.0,4.0,Gò Vấp,Hồ Chí Minh
3450000000.0,30.0,2.0,2.0,Gò Vấp,Hồ Chí Minh
2000000000.0,30.0,1.0,1.0,Văn Giang,Hưng Yên
4400000000.0,88.2,2.0,2.0,Tân Phú,Hồ Chí Minh
15200000000.0,120.0,8.0,10.0,Sơn Trà,Đà Nẵng
3560000000.0,79.0,2.0,2.0,Quận 7,Hồ Chí Minh
10500000000.0,116.87,3.0,2.0,Quận 1,Hồ Chí Minh
11490000000.0,85.0,3.0,2.0,Quận 9,Hồ Chí Minh
8600000000.0,78.0,2.0,2.0,Văn Giang,Hưng Yên
7000000000.0,63.0,2.0,1.0,Văn Giang,Hưng Yên
11250000000.0,31.2,4.0,4.0,Thanh Xuân,Hà Nội
1600000000.0,60.7,2.0,2.0,Thuận An,Bình Dương
