DistrictId,WardId,StreetId,Size,Type,Characteristics,Urgent,Price
14,166,1536,50.0,Đất thổ cư,"Mặt tiền,Nở hậu,Hẻm xe hơi,Thổ cư toàn bộ",0,3250000000.0
12,145,1255,53.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư 1 phần",0,4200000000.0
9,103,911,57.0,Đất thổ cư,"Nở hậu,Thổ cư toàn bộ",0,1750000000.0
12,145,1248,100.0,Đất thổ cư,,1,1710000000.0
24,312,2755,83.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",0,3400000000.0
14,171,1662,120.0,Đất thổ cư,Mặt tiền,0,9700000000.0
19,240,2299,88.0,Đất thổ cư,Thổ cư toàn bộ,0,6900000000.0
22,283,2608,144.0,Đất thổ cư,Mặt tiền,0,650000000.0
6,69,543,90.0,Đất thổ cư,,0,8000000000.0
24,310,2748,89.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ,Mặt tiền",0,3020000000.0
12,146,1259,60.0,Đất thổ cư,Hẻm xe hơi,0,4000000000.0
9,101,898,59.2,Đất nền dự án,,1,2200000000.0
13,165,1524,235.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi",0,12500000000.0
12,147,1270,105.9,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",0,4350000000.0
20,253,2495,100.0,Đất thổ cư,,0,780000000.0
9,107,946,92.5,Đất thổ cư,Hẻm xe hơi,0,5500000000.0
23,297,2673,100.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,3000000000.0
13,156,1391,120.0,Đất thổ cư,Mặt tiền,0,12000000000.0
23,304,2718,120.0,Đất nền dự án,"Mặt tiền,Thổ cư toàn bộ",0,4500000000.0
9,109,987,58.0,Đất thổ cư,Hẻm xe hơi,0,3700000000.0
9,103,910,97.0,Đất thổ cư,Hẻm xe hơi,1,3950000000.0
24,310,2749,114.4,Đất thổ cư,,0,3900000000.0
7,81,725,42.0,Đất thổ cư,"Nở hậu,Thổ cư 1 phần",0,2850000000.0
24,312,2755,80.0,Đất thổ cư,Hẻm xe hơi,0,4900000000.0
13,156,1408,154.1,Đất thổ cư,"Mặt tiền,Hẻm xe hơi",0,8000000000.0
23,296,2662,85.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",1,1600000000.0
22,290,2636,124.0,Đất thổ cư,Mặt tiền,1,1570000000.0
12,147,1270,275.3,Đất thổ cư,"Hẻm xe hơi,Nở hậu,Mặt tiền",0,9500000000.0
23,305,2725,91.0,Đất thổ cư,"Mặt tiền,Nở hậu,Hẻm xe hơi,Thổ cư toàn bộ",1,1300000000.0
13,159,1445,100.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi",0,6500000000.0
14,166,1536,50.0,Đất thổ cư,"Nở hậu,Hẻm xe hơi,Thổ cư toàn bộ",0,3250000000.0
23,299,2689,120.0,Đất thổ cư,Mặt tiền,0,1300000000.0
19,250,2478,64.0,Đất thổ cư,Hẻm xe hơi,0,5450000000.0
18,225,2119,50.0,Đất thổ cư,,0,3650000000.0
1,3,38,38.0,Đất thổ cư,Hẻm xe hơi,0,7950000000.0
9,111,1003,81.0,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",0,4300000000.0
9,110,988,84.0,Đất thổ cư,,0,8820000000.0
22,281,2605,162.0,Đất thổ cư,,0,2450000000.0
15,184,1807,80.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi",1,8100000000.0
14,170,1632,72.0,Đất thổ cư,Hẻm xe hơi,0,3200000000.0
14,166,1541,56.2,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",0,3653000000.0
9,101,897,50.0,Đất thổ cư,Hẻm xe hơi,0,2700000000.0
24,312,2755,80.3,Đất thổ cư,,0,3300000000.0
12,143,1227,61.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,4250000000.0
22,277,2595,150.0,Đất thổ cư,"Mặt tiền,Nở hậu,Hẻm xe hơi",1,590000000.0
24,310,2748,96.0,Đất thổ cư,"Hẻm xe hơi,Mặt tiền,Nở hậu,Thổ cư toàn bộ",0,3800000000.0
