price,rooms,toilets,floors,house_type,furnishing_sell,size,ward,district
8300000000.000001,4,5,5.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,72.0,Phường Thạnh Lộc,Quận 12
15000000000.0,3,0,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,100.0,Phường 11,Quận Phú Nhuận
5980000000.0,2,0,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,85.0,Phường Hiệp Thành,Quận 12
14500000000.0,5,0,0.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,115.8,Phường Linh Tây (Quận Thủ Đức cũ),Thành phố Thủ Đức
5850000000.0,4,0,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,67.0,Phường Tân Thới Nhất,Quận 12
5980000000.0,2,0,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,85.0,Phường Hiệp Thành,Quận 12
14500000000.0,5,0,0.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,115.8,Phường Linh Tây (Quận Thủ Đức cũ),Thành phố Thủ Đức
5850000000.0,4,0,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,67.0,Phường Tân Thới Nhất,Quận 12
8500000000.0,4,4,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,40.0,Phường 5,Quận Bình Thạnh
15500000000.0,4,3,3.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,75.0,Phường 12,Quận Tân Bình
2980000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,40.0,Phường Bình Trị Đông,Quận Bình Tân
4200000000.0,2,2,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,53.0,Phường Tân Thới Hòa,Quận Tân Phú
5500000000.0,2,0,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,72.6,Phường Phú Hữu (Quận 9 cũ),Thành phố Thủ Đức
5700000000.0,6,4,4.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,50.3,Phường An Lạc,Quận Bình Tân
13000000000.0,4,5,0.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,124.0,Phường 10,Quận 8
2690000000.0,4,3,2.0,Nhà phố liền kề,Nội thất đầy đủ,64.0,Phường 5,Quận Gò Vấp
4400000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,50.0,Phường Tân Sơn Nhì,Quận Tân Phú
2690000000.0,4,3,2.0,Nhà phố liền kề,Nội thất đầy đủ,64.0,Phường 5,Quận Gò Vấp
4400000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,50.0,Phường Tân Sơn Nhì,Quận Tân Phú
6500000000.0,3,2,3.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,80.0,Phường An Lạc,Quận Bình Tân
7950000000.0,4,4,0.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,66.4,Phường Bình Trưng Tây (Quận 2 cũ),Thành phố Thủ Đức
4800000000.0,3,3,3.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,107.0,Phường Hiệp Thành,Quận 12
2150000000.0,3,0,0.0,Nhà phố liền kề,Hoàn thiện cơ bản,54.0,Phường 3,Quận Bình Thạnh
6280000000.0,5,0,3.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,50.0,Phường 2,Quận 8
7000000000.0,4,0,4.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,78.0,Phường 11,Quận Bình Thạnh
2800000000.0,3,0,0.0,Nhà phố liền kề,Hoàn thiện cơ bản,43.0,Phường 10,Quận 3
6250000000.0,3,0,0.0,Nhà phố liền kề,Hoàn thiện cơ bản,64.0,Phường Tân Định,Quận 1
2350000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,40.0,Phường Tân Tạo,Quận Bình Tân
6250000000.0,3,0,0.0,Nhà phố liền kề,Hoàn thiện cơ bản,64.0,Phường Tân Định,Quận 1
2350000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,40.0,Phường Tân Tạo,Quận Bình Tân
