price,address,price_m2,rooms,toilets,direction,property_status,balconydirection,property_legal_document,apartment_type,furnishing_sell,size,apartment_feature
"5,20 tỷ","Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",52 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,,Căn góc
"16,50 tỷ","Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Hồ Chí Minh, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","58,10 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,Đông,Sổ hồng riêng,Penthouse,Nội thất cao cấp,,
"1,68 tỷ",- 168 triệu/m²,168 triệu/m²,2 phòng,2 phòng,Đông,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,,
"1,35 tỷ","47, Hòa Bình, Phường Tân Thới Hòa, Quận Tân Phú, Tp Hồ Chí Minh",135 triệu/m²,2 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,,
"1,68 tỷ","Số 59, Ngô Tất Tố, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh","16,15 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,104 m²,
"1,80 tỷ","Đường Võ Nguyên Giáp, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",180 triệu/m²,2 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,10 m²,
"7,50 tỷ","- 89,29 triệu/m²","89,29 triệu/m²",2 phòng,2 phòng,Tây Bắc,Đã bàn giao,Đông Nam,Đang chờ sổ,Chung cư,,,
"8,50 tỷ","- 89,47 triệu/m²","89,47 triệu/m²",3 phòng,3 phòng,Tây Bắc,Đã bàn giao,Nam,Hợp đồng mua bán,Chung cư,,,
4 tỷ,- 50 triệu/m²,50 triệu/m²,2 phòng,2 phòng,Đông Nam,Đã bàn giao,Tây Bắc,Sổ hồng riêng,Chung cư,,,
3 tỷ,"Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",40 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,75 m²,
"3,25 tỷ","659 Âu Cơ, phường Tân Thành, quận Tân Phú, Tp. HCM., Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh","36,93 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,88 m²,
"1,76 tỷ","Tân Phú, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",176 triệu/m²,3 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,10 m²,
"1,54 tỷ","Đường Bến Vân Đồn, Phường 6, Quận 4, Tp Hồ Chí Minh",154 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,,
"2,33 tỷ","341/13A, Khuông Việt, Phường Phú Trung, Quận Tân Phú, Tp Hồ Chí Minh","46,60 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,50 m²,
"1,25 tỷ","Đường Võ Văn Kiệt, Phường 3, Quận 6, Tp Hồ Chí Minh","41,67 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,30 m²,
"2,95 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","35,54 triệu/m²",3 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,83 m²,
"2,95 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","35,54 triệu/m²",3 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,83 m²,
