price,address,price_m2,direction,property_legal_document,land_type,pty_characteristics,size,width,length
12 tỷ,"Đường số 8, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","93,75 triệu/m²",Tây Bắc,Đã có sổ,Đất thổ cư,Mặt tiền,,8 m,16 m
"5,40 tỷ","Đường Số 1, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",100 triệu/m²,,Đã có sổ,Đất thổ cư,"Thổ cư toàn bộ,Hẻm xe hơi",54 m²,4.8 m,12 m
"3,74 tỷ","Hồ, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",65 triệu/m²,,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",57.6 m²,4 m,14.4 m
"2,80 tỷ","Đường Tỉnh lộ 43, Phường Bình Chiểu (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","50,91 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,55 m²,4 m,13.8 m
3 tỷ,"Đông Thạnh 3-3, Xã Đông Thạnh, Huyện Hóc Môn, Tp Hồ Chí Minh","31,58 triệu/m²",Đông,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Nở hậu,Thổ cư toàn bộ",95 m²,5.4 m,18 m
5 tỷ,Cập nhật 5 ngày trước,"52,63 triệu/m²",,Đã có sổ,Đất thổ cư,,95 m²,,
"2,05 tỷ","Hồ Bá Phấn, Phường Phước Long A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","25,63 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,80 m²,5 m,16 m
"3,51 tỷ","Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",65 triệu/m²,Đông,Đã có sổ,Đất thổ cư,"Nở hậu,Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",54 m²,4 m,13.5 m
"7,50 tỷ","Đường số 36, Phường Linh Đông (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","48,70 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,154 m²,10 m,15 m
"5,20 tỷ","Đường Quang Trung, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh",65 triệu/m²,,Đã có sổ,Đất thổ cư,Hẻm xe hơi,80 m²,4.2 m,19 m
"4,55 tỷ",Cập nhật 5 ngày trước,65 triệu/m²,,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu,Thổ cư toàn bộ",70 m²,,
"5,05 tỷ","Tan Xuân 1, Xã Tân Xuân, Huyện Hóc Môn, Tp Hồ Chí Minh","30,50 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,165.6 m²,8 m,22 m
"2,85 tỷ","Đường Xuân Thới Thượng 14, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh","22,44 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,127 m²,5 m,26 m
"11,80 tỷ","Đường Số 25, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","90,77 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,130 m²,7 m,19 m
"2,90 tỷ","cạnh nhà C6/20 , Đường Nguyễn Văn Thới, Xã Quy Đức, Huyện Bình Chánh, Tp Hồ Chí Minh","3,02 triệu/m²",Đông Nam,Đã có sổ,Đất nông nghiệp,,960 m²,48 m,20 m
450 triệu,"C5/17D ( nhà sách Minh Quân ), Đường Nguyễn Văn Thời, Xã Quy Đức, Huyện Bình Chánh, Tp Hồ Chí Minh","9,78 triệu/m²",Đông Nam,Đang chờ sổ,Đất nông nghiệp,Mặt tiền,46 m²,4 m,11.5 m
"2,20 tỷ","Đường Hốc Hưu, Xã Quy Đức, Huyện Bình Chánh, Tp Hồ Chí Minh","12,50 triệu/m²",Đông Nam,Đã có sổ,Đất nông nghiệp,Mặt tiền,176 m²,9.3 m,19 m
"2,45 tỷ","Đường Đặng Thúc Vịnh, Xã Đông Thạnh, Huyện Hóc Môn, Tp Hồ Chí Minh","43,75 triệu/m²",,Đã có sổ,Đất thổ cư,,56 m²,4 m,14 m
"3,40 tỷ","Đường Lê Văn Việt, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","49,28 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,69 m²,4 m,17 m
"2,60 tỷ","Đường Nguyễn Thị Sáng, Xã Đông Thạnh, Huyện Hóc Môn, Tp Hồ Chí Minh","43,33 triệu/m²",,Đã có sổ,Đất thổ cư,Thổ cư toàn bộ,60 m²,5 m,15 m
"1,20 tỷ","Suối Lội, Xã Tân Thông Hội, Huyện Củ Chi, Tp Hồ Chí Minh","11,11 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Mặt tiền,Thổ cư toàn bộ",108 m²,5 m,21 m
"3,60 tỷ","Đường Tân Long, Xã Tân Nhựt, Huyện Bình Chánh, Tp Hồ Chí Minh","14,17 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư 1 phần",254 m²,9 m,28 m
"2,80 tỷ","Đường Hoàng Phan Thái, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh","31,82 triệu/m²",,Đã có sổ,Đất thổ cư,,88 m²,5 m,17.8 m
14 tỷ,"Đường Dương Đình Hội, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",70 triệu/m²,Tây Bắc,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",200 m²,8 m,25 m
"6,40 tỷ","đường số 6, Phường Linh Tây (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","81,01 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,79 m²,4.2 m,18 m
7 tỷ,"Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",70 triệu/m²,,Đã có sổ,Đất thổ cư,,100 m²,5 m,20 m
"16,50 tỷ","Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","85,94 triệu/m²",,Đã có sổ,Đất thổ cư,,192 m²,6 m,33 m
"5,65 tỷ",Đường Quốc lộ 13,"64,94 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ,Hẻm xe hơi",87 m²,5.9 m,15 m
"2,40 tỷ","Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","42,84 triệu/m²",,Đã có sổ,Đất thổ cư,Thổ cư toàn bộ,56 m²,8 m,7 m
"1,92 tỷ",Đường Tỉnh Lộ 2,24 triệu/m²,,Đã có sổ,Đất thổ cư,Mặt tiền,80 m²,5 m,16 m
"5,99 tỷ","Đường Lê Đức Thọ, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh","79,87 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",75 m²,4 m,19 m
"7,20 tỷ",Cập nhật 5 ngày trước,48 triệu/m²,Đông Nam,Đã có sổ,Đất thổ cư,Mặt tiền,150 m²,,
"4,20 tỷ","Đường Trần Quang Đạo, Xã Bình Khánh, Huyện Cần Giờ, Tp Hồ Chí Minh","21,21 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,198 m²,8 m,25 m
900 triệu,"Đường Trung An, Xã Trung An, Huyện Củ Chi, Tp Hồ Chí Minh","3,64 triệu/m²",,Đã có sổ,Đất thổ cư,,247 m²,6 m,41 m
"2,10 tỷ","Lê Văn Việt, Phường Tăng Nhơn Phú A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",28 triệu/m²,,Đã có sổ,Đất thổ cư,Thổ cư toàn bộ,75 m²,5 m,15 m
"8,50 tỷ","Đường số 11, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","50,60 triệu/m²",,Đã có sổ,Đất nền dự án,Mặt tiền,168 m²,6 m,28 m
28 tỷ,"Đường số 34, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",140 triệu/m²,Tây,Đang chờ sổ,Đất thổ cư,Mặt tiền,200 m²,10 m,20 m
6 tỷ,"Nguyễn Văn Yến , Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh","111,11 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",54 m²,4.5 m,12 m
"3,75 tỷ","Số 11, Phường Tăng Nhơn Phú B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","72,12 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,52 m²,4 m,13 m
"4,30 tỷ","182, Phường Tăng Nhơn Phú A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","55,84 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,77 m²,4 m,19 m
"3,20 tỷ","Đường Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh",40 triệu/m²,Đông,Đã có sổ,Đất thổ cư,Hẻm xe hơi,80 m²,6.7 m,12 m
"7,45 tỷ","Đường Lê Văn Quới, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh","82,78 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,90 m²,10 m,9 m
"1,50 tỷ","Cây Trắc, Xã Phú Hòa Đông, Huyện Củ Chi, Tp Hồ Chí Minh","15,63 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,Mặt tiền,96 m²,6 m,16 m
11 tỷ,"Đường Lê Đức Thọ, Phường 13, Quận Gò Vấp, Tp Hồ Chí Minh","58,82 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,187 m²,4.8 m,39 m
"10,50 tỷ","Đường Hồ Văn Tư, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",42 triệu/m²,,Đã có sổ,Đất thổ cư,Hẻm xe hơi,250 m²,8 m,
400 triệu,"Đường Tam Đa, Phường Trường Thạnh (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","5,88 triệu/m²",,Giấy tờ viết tay,Đất thổ cư,Hẻm xe hơi,68 m²,4 m,17 m
"7,70 tỷ","Đường Lạc Long Quân, Phường 9, Quận Tân Bình, Tp Hồ Chí Minh",100 triệu/m²,,Đã có sổ,Đất thổ cư,"Nở hậu,Hẻm xe hơi",77 m²,4 m,20 m
"6,70 tỷ",Cập nhật 5 ngày trước,"102,60 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,65.3 m²,,
"5,60 tỷ","Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh","50,91 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,Hẻm xe hơi,110 m²,5 m,22 m
"3,60 tỷ","Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","65,45 triệu/m²",Tây,Đã có sổ,Đất thổ cư,,55 m²,5 m,11 m
715 triệu,"Đường Quốc lộ 22, Thị trấn Củ Chi, Huyện Củ Chi, Tp Hồ Chí Minh","4,09 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu,Thổ cư 1 phần",175 m²,7 m,25 m
"4,90 tỷ","Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh",28 triệu/m²,,Đã có sổ,Đất thổ cư,Hẻm xe hơi,175 m²,8 m,22 m
13 tỷ,"Đường Bình Lợi, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",130 triệu/m²,,Đã có sổ,Đất thổ cư,,100 m²,5 m,20 m
"4,50 tỷ","Quốc Lộ 1, Xã Tân Quý Tây, Huyện Bình Chánh, Tp Hồ Chí Minh",15 triệu/m²,,Đã có sổ,Đất thổ cư,,300 m²,10 m,30 m
"3,60 tỷ","Đường Trường Lưu, Phường Trường Thạnh (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","39,87 triệu/m²",,Đã có sổ,Đất thổ cư,,90.3 m²,6.2 m,15 m
"4,30 tỷ","Hẻm 668 Quốc lộ 13, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","72,64 triệu/m²",Đông,Đã có sổ,Đất thổ cư,Hẻm xe hơi,59.2 m²,4 m,15 m
"2,64 tỷ","Đường 234, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh","17,80 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu,Thổ cư toàn bộ",148 m²,6 m,24 m
"12,50 tỷ","Đường Đặng Thùy Trâm, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",125 triệu/m²,,Đã có sổ,Đất thổ cư,,100 m²,5 m,20 m
40 tỷ,"Đường Lê Ngung, Phường Tân Tạo A, Quận Bình Tân, Tp Hồ Chí Minh","16,13 triệu/m²",Tây Bắc,Đã có sổ,Đất nông nghiệp,Hẻm xe hơi,,30 m,83 m
"4,95 tỷ","Đường Trương Phước Phan, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","71,74 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Nở hậu",69 m²,4.8 m,15 m
"5,70 tỷ","Tổ 10, Xã Tân Nhựt, Huyện Bình Chánh, Tp Hồ Chí Minh","3,80 triệu/m²",,Đã có sổ,Đất nông nghiệp,Mặt tiền,1500 m²,31 m,48 m
"4,60 tỷ","Phạm Thế Hiển, Phường 7, Quận 8, Tp Hồ Chí Minh","47,92 triệu/m²",Đông Bắc,Đã có sổ,Đất nền dự án,Mặt tiền,,4 m,24 m
"3,95 tỷ","Đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","19,75 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",200 m²,8 m,25 m
6 tỷ,"P15, Lê Đức Thọ, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh",80 triệu/m²,,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",75 m²,4 m,18.5 m
"11,50 tỷ","Đường Số 18, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","118,56 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,97 m²,4 m,25 m
"6,95 tỷ","Đường Số 37, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","97,89 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,71 m²,4.5 m,16 m
"1,30 tỷ","Đường Dương Công Khi, Xã Tân Thới Nhì, Huyện Hóc Môn, Tp Hồ Chí Minh","10,66 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu,Hẻm xe hơi,Thổ cư toàn bộ",122 m²,5 m,24 m
"15,50 tỷ","Đường Nguyễn Văn Cự, Phường Tân Tạo A, Quận Bình Tân, Tp Hồ Chí Minh","43,06 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,360 m²,11.6 m,62 m
"4,45 tỷ","Đường Quốc lộ 13, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","80,91 triệu/m²",,Đã có sổ,Đất thổ cư,,55 m²,4.3 m,12.8 m
"4,60 tỷ","Đường 26 Tháng 3, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh","52,27 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",88 m²,4 m,22 m
"8,90 tỷ","2, SONG HÀNH P AN PHÚ QUẬN, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","111,25 triệu/m²",,Đã có sổ,Đất nền dự án,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ,Nở hậu",80 m²,5 m,16 m
"4,60 tỷ","Số 16, Phường Linh Trung (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","57,50 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,80 m²,4 m,20 m
"11,90 tỷ",Cập nhật 5 ngày trước,"2,60 triệu/m²",,Đã có sổ,Đất nông nghiệp,,4574 m²,,
"4,95 tỷ","Số 3, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","72,79 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",68 m²,4.68 m,15 m
"2,80 tỷ",Cập nhật 1 ngày trước,56 triệu/m²,,Đã có sổ,Đất thổ cư,,50 m²,,
"5,80 tỷ","Đường Đặng Thùy Trâm, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh","103,57 triệu/m²",,Đã có sổ,Đất thổ cư,"Nở hậu,Hẻm xe hơi",56 m²,4 m,14 m
"22,30 tỷ","An Lộc, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","58,07 triệu/m²",Tây Bắc,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",384 m²,16 m,24 m
"9,70 tỷ",Đường Xuân Thới Thượng 4,"18,48 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",525 m²,12 m,43 m
12 tỷ,"Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",100 triệu/m²,,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",120 m²,8 m,15 m
80 tỷ,Cập nhật 5 ngày trước,"52,48 triệu/m²",,Đã có sổ,Đất công nghiệp,,1524.4 m²,,
"2,90 tỷ","Đường Trần Thị Năm, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","11,79 triệu/m²",,Đã có sổ,Đất nông nghiệp,Hẻm xe hơi,246 m²,8 m,30 m
72 tỷ,"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh","268,66 triệu/m²",Tây,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",268 m²,10 m,32 m
"3,20 tỷ","an phu dong 10, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","43,84 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,73 m²,4.17 m,17.5 m
"2,55 tỷ","692, Xã Thái Mỹ, Huyện Củ Chi, Tp Hồ Chí Minh","11,49 triệu/m²",Tây Nam,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu,Thổ cư toàn bộ",222 m²,8.9 m,27 m
"4,80 tỷ","Đường Thạnh Xuân 25, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",48 triệu/m²,,Đã có sổ,Đất thổ cư,Hẻm xe hơi,100 m²,5 m,20 m
"1,35 tỷ","Đường Bình Mỹ, Xã Bình Mỹ, Huyện Củ Chi, Tp Hồ Chí Minh","14,21 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",95 m²,5 m,19.5 m
"1,99 tỷ","Đường Đỗ Xuân Hợp, Phường Bình Trưng Đông (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",199 triệu/m²,,Đã có sổ,Đất thổ cư,Mặt tiền,10 m²,5 m,2 m
"1,50 tỷ","Đường số 19, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","14,99 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",100 m²,5 m,20 m
"5,90 tỷ","Đường Lê Văn Quới, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",59 triệu/m²,,Đã có sổ,Đất thổ cư,,100 m²,4 m,25 m
"5,70 tỷ","Đường Thạnh Xuân 52, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","29,23 triệu/m²",,Đã có sổ,Đất thổ cư,,195 m²,15 m,13 m
"2,49 tỷ","Đoàn Nguyễn Tuấn, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","22,84 triệu/m²",Đông Bắc,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Nở hậu",,5.29 m,20.39 m
"15,90 tỷ","Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",159 triệu/m²,,Đã có sổ,Đất thổ cư,Mặt tiền,100 m²,6 m,16 m
"1,25 tỷ","Dương Công Khi, Xã Xuân Thới Sơn, Huyện Hóc Môn, Tp Hồ Chí Minh","12,89 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",97 m²,5 m,19 m
"4,80 tỷ","Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","69,97 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",68.6 m²,5.5 m,12.5 m
"5,20 tỷ","Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh","57,14 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,91 m²,5 m,18 m
975 triệu,"Đường Hồ Văn Tắng, Xã Tân Phú Trung, Huyện Củ Chi, Tp Hồ Chí Minh","4,88 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,200 m²,5.5 m,30 m
"3,90 tỷ","Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",65 triệu/m²,Đông,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ,Nở hậu",60 m²,8 m,15 m
550 triệu,"Đường Quốc lộ 22, Xã Tân Phú Trung, Huyện Củ Chi, Tp Hồ Chí Minh","8,46 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,65 m²,4 m,15 m
870 triệu,"Đường Tỉnh Lộ 2, Xã Tân Phú Trung, Huyện Củ Chi, Tp Hồ Chí Minh","5,21 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,167 m²,15 m,11 m
995 triệu,"Đường Tỉnh Lộ 7, Xã Trung Lập Hạ, Huyện Củ Chi, Tp Hồ Chí Minh",962.282 đ/m²,,Đã có sổ,Đất nông nghiệp,Hẻm xe hơi,1034 m²,20 m,50 m
"1,05 tỷ",Cập nhật 5 ngày trước,"7,78 triệu/m²",,Đã có sổ,Đất thổ cư,Thổ cư toàn bộ,135 m²,,
875 triệu,"Đường Cây Trắc, Xã Phú Hòa Đông, Huyện Củ Chi, Tp Hồ Chí Minh","8,93 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,98 m²,6 m,17 m
650 triệu,"Đường Tỉnh Lộ 7, Xã Trung Lập Hạ, Huyện Củ Chi, Tp Hồ Chí Minh",904.033 đ/m²,,Đã có sổ,Đất nông nghiệp,Hẻm xe hơi,719 m²,10 m,71 m
695 triệu,"Đường Quốc lộ 22, Xã Tân Phú Trung, Huyện Củ Chi, Tp Hồ Chí Minh","8,48 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,82 m²,5 m,15.6 m
975 triệu,"Đường Tỉnh lộ 15, Xã Tân Thạnh Đông, Huyện Củ Chi, Tp Hồ Chí Minh","7,44 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,131 m²,5 m,26 m
495 triệu,"Đường Lê Văn Khương, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","8,25 triệu/m²",,Đã có sổ,Đất nông nghiệp,Hẻm xe hơi,60 m²,4 m,15 m
915 triệu,"Đường Nguyễn Thị Lắng, Xã Tân Phú Trung, Huyện Củ Chi, Tp Hồ Chí Minh","4,38 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,209 m²,7.5 m,29 m
875 triệu,"Tỉnh Lộ 2, Xã Trung Lập Hạ, Huyện Củ Chi, Tp Hồ Chí Minh",7 triệu/m²,,Đã có sổ,Đất thổ cư,Hẻm xe hơi,125 m²,5 m,25 m
3 tỷ,"Đường Tân Hiệp 4, Xã Tân Hiệp, Huyện Hóc Môn, Tp Hồ Chí Minh","31,48 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Nở hậu,Thổ cư toàn bộ",95.3 m²,5.5 m,18 m
"2,65 tỷ",Cập nhật 5 ngày trước,"49,07 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,54 m²,,
"2,90 tỷ","Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","65,02 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",44.6 m²,4 m,11.15 m
"1,05 tỷ",Cập nhật 5 ngày trước,"7,78 triệu/m²",,Đã có sổ,Đất thổ cư,Thổ cư toàn bộ,135 m²,,
"5,50 tỷ","Đường 30, Phường Linh Đông (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","62,50 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,88 m²,6.2 m,14 m
"1,70 tỷ","Đường Xuân Thới Sơn 12, Xã Xuân Thới Sơn, Huyện Hóc Môn, Tp Hồ Chí Minh","18,68 triệu/m²",,Đã có sổ,Đất thổ cư,,91 m²,5 m,18 m
"1,20 tỷ","Đường Nguyễn Văn Hoài, Xã Tân An Hội, Huyện Củ Chi, Tp Hồ Chí Minh","11,43 triệu/m²",,Đã có sổ,Đất thổ cư,,105 m²,5 m,21 m
850 triệu,"Đường Tỉnh lộ 2, Xã Trung Lập Hạ, Huyện Củ Chi, Tp Hồ Chí Minh","6,64 triệu/m²",,Đã có sổ,Đất thổ cư,,128 m²,5 m,25 m
"2,15 tỷ",Cập nhật 5 ngày trước,"34,13 triệu/m²",Đông Bắc,Đã có sổ,Đất thổ cư,,63 m²,,
"10,50 tỷ","Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","92,51 triệu/m²",Bắc,Đã có sổ,Đất thổ cư,Mặt tiền,113.5 m²,7 m,18 m
"7,80 tỷ","Đường Số 6, Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",60 triệu/m²,,Đã có sổ,Đất thổ cư,Mặt tiền,130 m²,5 m,26 m
"2,40 tỷ","Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","42,86 triệu/m²",Nam,Đã có sổ,Đất thổ cư,Thổ cư toàn bộ,56 m²,8 m,6.3 m
"1,73 tỷ","Đường An Nhơn Tây, Xã An Nhơn Tây, Huyện Củ Chi, Tp Hồ Chí Minh","11,53 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,150 m²,3 m,30 m
"3,60 tỷ","Đường Số 1B, Xã An Phú Tây, Huyện Bình Chánh, Tp Hồ Chí Minh",36 triệu/m²,,Đã có sổ,Đất thổ cư,Mặt tiền,100 m²,5 m,20 m
