price,rooms,toilets,floors,house_type,furnishing_sell,size,district,province
970000000.0,2,1,2.0,"Nhà ngõ, hẻm",,14.999226843977114,Quận 8,Hồ Chí Minh
970000000.0,2,1,2.0,"Nhà ngõ, hẻm",,14.999226843977114,Quận 8,Hồ Chí Minh
4200000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,58.003038254384755,Quận Tân Phú,Hồ Chí Minh
680000000.0,3,2,1.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,100.0,Huyện Bình Chánh,Hồ Chí Minh
4150000000.0000005,6,5,3.0,"Nhà ngõ, hẻm",,54.00130123617437,Quận 8,Hồ Chí Minh
5950000000.0,2,2,2.0,"Nhà ngõ, hẻm",,64.99890758138518,Quận Tân Bình,Hồ Chí Minh
6450000000.0,3,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,89.99581414817915,Quận Tân Phú,Hồ Chí Minh
5700000000.0,1,0,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,60.0,Quận Tân Phú,Hồ Chí Minh
5700000000.0,1,0,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,60.0,Quận Tân Phú,Hồ Chí Minh
6900000000.0,4,4,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,48.0,Quận Tân Bình,Hồ Chí Minh
450000000.0,2,2,1.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,79.92895204262878,Huyện Bình Chánh,Hồ Chí Minh
490000000.0,1,1,1.0,"Nhà ngõ, hẻm",,14.100719424460431,Huyện Bình Chánh,Hồ Chí Minh
2750000000.0,3,4,3.0,Nhà phố liền kề,Nội thất đầy đủ,55.19871537535126,Quận Bình Thạnh,Hồ Chí Minh
8800000000.0,6,6,1.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,115.50072187951174,Quận 7,Hồ Chí Minh
15200000000.0,6,6,0.0,"Nhà ngõ, hẻm",,95.80234463632925,Quận Bình Thạnh,Hồ Chí Minh
15200000000.0,6,6,0.0,"Nhà ngõ, hẻm",,95.80234463632925,Quận Bình Thạnh,Hồ Chí Minh
1860000000.0,3,3,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,10.0,Quận 4,Hồ Chí Minh
6500000000.0,5,5,4.0,"Nhà ngõ, hẻm",,80.0,Quận 12,Hồ Chí Minh
930000000.0,3,3,3.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,94.99489274770174,Huyện Bình Chánh,Hồ Chí Minh
12000000000.0,3,1,1.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,89.80019456708823,Quận Bình Thạnh,Hồ Chí Minh
8300000000.000001,4,5,3.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,71.99861207494796,Quận Bình Tân,Hồ Chí Minh
5600000000.0,3,2,3.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,53.00018928639031,Thành phố Thủ Đức,Hồ Chí Minh
7400000000.0,2,0,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,60.001621665450415,Quận Tân Phú,Hồ Chí Minh
3320000000.0,3,3,3.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,42.0253164556962,Quận Bình Thạnh,Hồ Chí Minh
800000000.0,2,2,1.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,100.0,Huyện Bình Chánh,Hồ Chí Minh
9900000000.0,4,2,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,120.0,Thành phố Thủ Đức,Hồ Chí Minh
800000000.0,2,2,1.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,100.0,Huyện Bình Chánh,Hồ Chí Minh
9900000000.0,4,2,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,120.0,Thành phố Thủ Đức,Hồ Chí Minh
690000000.0,4,4,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,10.0,Quận 12,Hồ Chí Minh
5750000000.0,4,5,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,66.00091827364555,Thành phố Thủ Đức,Hồ Chí Minh
6500000000.0,4,4,3.0,Nhà phố liền kề,Nội thất đầy đủ,78.003120124805,Thành phố Thủ Đức,Hồ Chí Minh
4300000000.0,5,4,4.0,"Nhà ngõ, hẻm",Bàn giao thô,36.00133958472873,Quận Phú Nhuận,Hồ Chí Minh
490000000.0,1,1,1.0,"Nhà ngõ, hẻm",,14.0,Quận 8,Hồ Chí Minh
5290000000.0,3,2,3.0,"Nhà ngõ, hẻm",,47.99927411305689,Quận Tân Phú,Hồ Chí Minh
4300000000.0,2,2,3.0,"Nhà ngõ, hẻm",Bàn giao thô,30.000697690643968,Quận Phú Nhuận,Hồ Chí Minh
7300000000.0,5,4,5.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,58.00095344033053,Quận Phú Nhuận,Hồ Chí Minh
690000000.0,4,4,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,10.0,Quận 12,Hồ Chí Minh
5750000000.0,4,5,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,66.00091827364555,Thành phố Thủ Đức,Hồ Chí Minh
6500000000.0,4,4,3.0,Nhà phố liền kề,Nội thất đầy đủ,78.003120124805,Thành phố Thủ Đức,Hồ Chí Minh
4300000000.0,5,4,4.0,"Nhà ngõ, hẻm",Bàn giao thô,36.00133958472873,Quận Phú Nhuận,Hồ Chí Minh
490000000.0,1,1,1.0,"Nhà ngõ, hẻm",,14.0,Quận 8,Hồ Chí Minh
5290000000.0,3,2,3.0,"Nhà ngõ, hẻm",,47.99927411305689,Quận Tân Phú,Hồ Chí Minh
4300000000.0,2,2,3.0,"Nhà ngõ, hẻm",Bàn giao thô,30.000697690643968,Quận Phú Nhuận,Hồ Chí Minh
7300000000.0,5,4,5.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,58.00095344033053,Quận Phú Nhuận,Hồ Chí Minh
5900000000.0,4,4,4.0,"Nhà mặt phố, mặt tiền",,63.00053390282969,Quận Bình Tân,Hồ Chí Minh
1450000000.0,1,1,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,14.000193106111809,Quận Tân Phú,Hồ Chí Minh
5200000000.0,5,5,3.0,"Nhà ngõ, hẻm",,110.00634651999154,Quận 12,Hồ Chí Minh
2750000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,25.999810910466106,Quận 8,Hồ Chí Minh
11900000000.0,4,4,0.0,"Nhà ngõ, hẻm",,80.0,Quận Bình Thạnh,Hồ Chí Minh
1300000000.0,2,2,0.0,"Nhà ngõ, hẻm",,53.191489361702125,Huyện Củ Chi,Hồ Chí Minh
5500000000.0,3,1,1.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,40.0,Quận 6,Hồ Chí Minh
4900000000.0,2,2,2.0,"Nhà ngõ, hẻm",,39.00031836994588,Quận 5,Hồ Chí Minh
1990000000.0,2,2,1.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,10.0,Quận 11,Hồ Chí Minh
3150000000.0,2,2,1.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,40.0,Thành phố Thủ Đức,Hồ Chí Minh
4700000000.0,4,4,4.0,"Nhà mặt phố, mặt tiền",,55.9990468247349,Quận Bình Tân,Hồ Chí Minh
4700000000.0,4,4,4.0,"Nhà mặt phố, mặt tiền",,55.9990468247349,Quận Bình Tân,Hồ Chí Minh
4950000000.0,4,2,4.0,"Nhà ngõ, hẻm",,33.0,Quận Bình Thạnh,Hồ Chí Minh
2890000000.0,4,3,3.0,Nhà phố liền kề,Nội thất đầy đủ,35.99900348779273,Huyện Nhà Bè,Hồ Chí Minh
5500000000.0,3,2,0.0,"Nhà ngõ, hẻm",,50.0,Quận 7,Hồ Chí Minh
