DistrictId,WardId,StreetId,Size,Type,FurnishingSell,Urgent,Price
2,13,144,43.0,Officetel,Nội thất đầy đủ,0,2500000000.0
19,240,2295,98.0,Shophouse,Hoàn thiện cơ bản,1,8199999999.999999
13,156,1412,200.0,Shophouse,Hoàn thiện cơ bản,0,8300000000.000001
10,126,1111,216.0,Mặt bằng kinh doanh,,0,38000000000.0
1,3,38,81.0,Mặt bằng kinh doanh,,0,8000000000.0
14,170,1649,300.0,Mặt bằng kinh doanh,,0,2500000000.0
6,69,543,68.0,Văn phòng,,0,11500000000.0
9,102,902,73.0,Shophouse,,0,2500000000.0
3,31,323,132.0,Mặt bằng kinh doanh,,0,32000000000.0
14,167,1561,80.0,Mặt bằng kinh doanh,,0,12900000000.0
18,239,2280,100.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,250000000.0
14,175,1744,120.0,Shophouse,,0,2900000000.0
19,240,2302,128.0,Mặt bằng kinh doanh,,0,22000000000.0
13,158,1440,270.0,Mặt bằng kinh doanh,,0,35500000000.0
14,168,1586,100.0,Mặt bằng kinh doanh,Nội thất cao cấp,0,9800000000.0
13,155,1374,186.5,Mặt bằng kinh doanh,,0,30000000000.0
13,156,1412,175.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,35000000000.0
13,154,1371,205.0,Mặt bằng kinh doanh,,0,13000000000.0
22,287,2624,240.0,Mặt bằng kinh doanh,,1,720000000.0
10,126,1122,300.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,1600000000.0
8,84,740,70.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,14000000000.0
18,230,2185,50.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,70000000.0
13,160,1465,163.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,17000000000.0
9,102,902,60.0,Shophouse,,0,10000000000.0
19,240,2302,112.0,Mặt bằng kinh doanh,,0,10600000000.0
14,172,1666,152.0,Mặt bằng kinh doanh,,0,16300000000.0
14,171,1662,360.0,Mặt bằng kinh doanh,,0,18000000000.0
20,254,2511,105.0,Shophouse,Hoàn thiện cơ bản,0,8600000000.0
20,254,2511,78.0,Shophouse,Hoàn thiện cơ bản,0,4200000000.0
9,107,944,100.0,Mặt bằng kinh doanh,Bàn giao thô,0,14500000000.0
7,80,812,80.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,850000000.0
9,109,987,111.0,Mặt bằng kinh doanh,,0,13700000000.0
12,151,1314,207.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,24900000000.0
15,187,1824,200.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,1000000000.0
9,102,902,70.0,Shophouse,Nội thất đầy đủ,0,19500000000.0
19,241,2314,101.0,Văn phòng,Nội thất cao cấp,0,22000000000.0
20,254,2511,60.0,Shophouse,Bàn giao thô,1,8100000000.0
10,124,1102,15.0,Mặt bằng kinh doanh,,1,2680000000.0
2,14,159,300.0,Mặt bằng kinh doanh,,0,1300000000.0
